<meta-data>
nrMolecules = 5740
nrFoodSet   = 48
nrReactions = 6039

<molecules>
H2O; Water	C00001
D-Psicose; D-ribo-Hex-2-ulose; D-ribo-2-Hexulose; D-ribo-2-Ketohexulose; D-erythro-Hexulose; D-Pseudofructose; D-Allulose; D-Altrulose	C06468
L-Iduronic acid	C06472
2-Keto-D-gluconic acid; 2-Dehydro-D-gluconate; 2-Dehydro-D-gluconic acid; alpha-D-arabino-2-Hexulosonic acid	C06473
L-Seryl-tRNA(Sec)	C06481
L-Selenocysteinyl-tRNA(Sec)	C06482
4,5-cis-Dihydroxy-1,2-dithiacyclohexane; Oxidized dithioerythritol	C06484
1,5-Anhydro-D-fructose	C06485
Hydrogenobyrinate a,c diamide; Hydrogenobyrinate diamide; Hydrogenobyrinic acid a,c-diamide	C06503
Cob(II)yrinate a,c diamide; Cob(II)yrinate diamide; Cob(II)yrinic acid a,c-diamide; Cobyrinate a,c-diamide; Cobyrinic acid a,c-diamide	C06504
Cob(I)yrinate a,c diamide; Cob(I)yrinate diamide; Cob(I)yrinic acid a,c-diamide	C06505
Adenosyl cobyrinate a,c diamide; Adenosyl cobyrinate diamide; Adenosylcob(III)yrinic acid a,c-diamide; Adenosylcobyrinic acid a,c-diamide	C06506
Adenosyl cobyrinate hexaamide; Adenosylcobyric acid	C06507
Adenosyl cobinamide; Adenosylcobinamide	C06508
Adenosyl cobinamide phosphate; Adenosylcobinamide phosphate	C06509
Adenosine-GDP-cobinamide; Adenosylcobinamide-GDP	C06510
(R)-Norreticuline; N-Norreticuline	C06516
(S)-6-O-Methylnorlaudanosoline; (S)-3'-Hydroxycoclaurine	C06517
(S)-Nororientaline	C06518
(S)-Norreticuline	C06520
Ethylene	C06547
Ethylene oxide	C06548
Atrazine	C06551
Hydroxyatrazine; 4-(Ethylamino)-2-hydroxy-6-(isopropylamino)-1,3,5-triazine	C06552
N-Isopropylammelide	C06553
Cyanuric acid	C06554
Biuret	C06555
Deisopropyldeethylatrazine	C06560
Naringenin chalcone; 2',4,4',6'-Tetrahydroxychalcone; Isosalipurpol; Chalconaringenin	C06561
Penicillin N; Adicillin	C06564
Penicilloic acid	C06567
O-Carbamoyl-deacetylcephalosporin C	C06568
Tetracycline	C06570
4-Isopropylbenzaldehyde; p-Cumic aldehyde; Cuminaldehyde	C06577
p-Cumate	C06578
cis-2,3-Dihydroxy-2,3-dihydro-p-cumate; cis-5,6-Dihydroxy-4-isopropylcyclohexa-1,3-dienecarboxylate; (2R,3S)-2,3-Dihydroxy-2,3-dihydro-p-cumate	C06579
2,3-Dihydroxy-p-cumate	C06580
cis-2,3-Dihydro-2,3-dihydroxy-4'-chlorobiphenyl	C06585
2,3-Dihydroxy-4'-chlorobiphenyl	C06586
2-Hydroxy-6-oxo-6-(4'-chlorophenyl)-hexa-2,4-dienoate	C06587
cis-2,3-Dihydro-2,3-dihydroxybiphenyl; cis-3-Phenylcyclohexa-3,5-diene-1,2-diol; (1S,2R)-3-Phenylcyclohexa-3,5-diene-1,2-diol	C06589
1,2,4-Trichlorobenzene; Trichlorobenzene A	C06594
1,3,4,6-Tetrachloro-1,4-cyclohexadiene	C06597
2,4,5-Trichloro-2,5-cyclohexadiene-1-ol; 1-Hydroxyl-2,4,5-trichloro-2,5-cyclohexadiene	C06598
2,5-Dichloro-2,5-cyclohexadiene-1,4-diol; 1,4-Dihydroxyl-2,5-dichloro-2,5-cyclohexadiene	C06599
2,5-Dichlorophenol; 2,5-DCP	C06602
cis,cis-4-Hydroxymuconic semialdehyde; 4-Hydroxymuconic semialdehyde	C06603
Parathion; O,O-Diethyl O-p-nitrophenyl phosphorothioate; Thiophos; DNTP	C06604
Paraoxon; O,O-Diethyl-O-p-nitrophenylphosphoric acid	C06606
Diethylthiophosphoric acid; DETP	C06607
Diethylphosphoric acid; O,O-Diethylphosphoric acid	C06608
trans-1,3-Dichloropropene; trans-3-Chloroallyl chloride	C06609
cis-1,3-Dichloropropene	C06610
trans-3-Chloro-2-propene-1-ol; trans-3-Chloroallyl alcohol	C06611
cis-3-Chloro-2-propene-1-ol; cis-3-Chloroallyl alcohol	C06612
trans-3-Chloroallyl aldehyde; trans-3-Chloro-2-propenal	C06613
trans-3-Chloroacrylic acid	C06614
cis-3-Chloroacrylic acid	C06615
Erythromycin C	C06616
dTDP-3,4-dioxo-2,6-dideoxy-D-glucose; dTDP-3,4-didehydro-2,6-dideoxy-alpha-D-glucose	C06620
Oxytetracycline; Oxytetracycline anhydrous	C06624
3-O-alpha-Mycarosylerythronolide B; 3-alpha-L-Mycarosylerythronolide B; 4-(4,5-Dihydroxy-4,6-dimethyl-tetrahydro-pyran-2-yloxy)-14-ethyl-6,7,12-trihydroxy-3,5,7,9,11,13-hexamethyl-oxacyclotetradecane-2,10-dione	C06630
Erythromycin D	C06633
Erythronolide B	C06635
Erythromycin B; Berythromycin	C06653
4-Amino-anhydrotetracycline; 4-Amino-ATC; 4-Dedimethyl-6-dehydro-anhydrotetracycline; 4-Amino-4-de(dimethylamino)anhydrotetracycline	C06654
L-N2-(2-Carboxyethyl)arginine; N2-(2-Carboxyethyl)-L-arginine	C06655
Deoxyguanidinoproclavaminic acid; Deoxyguanidinoproclavaminate; Deoxyamidinoproclavaminate	C06656
Guanidinoproclavaminic acid; Guanidinoproclavaminate; Amidinoproclavaminate	C06657
Proclavaminic acid; Proclavaminate	C06658
2,4-Dichlorobenzoyl-CoA	C06671
Vanillate; Vanillic acid; 4-Hydroxy-3-methoxybenzoate; 4-Hydroxy-3-methoxybenzoic acid	C06672
4-Sulfolactone; 4-Carboxymethyl-4-sulfobut-2-en-4-olide; 4-Sulfomuconolactone	C06676
4-Sulfobenzyl alcohol; 4-(Hydroxymethyl)benzenesulfonate	C06678
4-Sulfobenzaldehyde; 4-Formylbenzenesulfonate	C06679
4-Hydroxyphthalate	C06680
Vancomycin	C06689
Lead; Pb; Pb2+	C06696
Arsenite; Trisoxylatoarsine	C06697
Phosphonic acid; Phosphonate; Phosphorous acid; Phosphite	C06701
Fluoren-9-ol; 9-Fluorenol; 9-Hydroxyfluorene; Diphenylene carbinol	C06711
Fluoren-9-one; 9-Fluorenone	C06712
3-Hydroxypimeloyl-CoA; 3-Hydroxypimelyl-CoA	C06714
3-Oxopimeloyl-CoA; 3-Ketopimelyl-CoA	C06715
Mycothiol	C06717
S-Formylmycothiol	C06718
Dihydrophloroglucinol	C06719
cis-1,2-Dihydroxy-1,2-dihydrodibenzothiophene	C06721
1,2-Dihydroxydibenzothiophene	C06722
6-Carboxyhex-2-enoyl-CoA; 2,3-Didehydro-pimeloyl-CoA	C06723
5,6-Dihydroxy-3-methyl-2-oxo-1,2-dihydroquinoline	C06725
5,6-Dihydroxy-3-methyl-2-oxo-1,2,5,6-tetrahydroquinoline	C06726
cis-1,2-Dihydro-3-ethylcatechol; cis-2,3-Dihydroxy-2,3-dihydroethylbenzene; cis-3-Ethyl-cyclohexa-3,5-diene-1,2-diol	C06727
3-Ethylcatechol; 2,3-Dihydroxyethylbenzene; 3-Ethyl-benzene-1,2-diol	C06728
cis-1,2-Dihydroxy-4-methylcyclohexa-3,5-diene-1-carboxylate; 4-Methylcyclohexa-3,5-diene-1,2-cis-diol-1-carboxylic acid	C06729
4-Methylcatechol; 3,4-Dihydroxytoluene; 1,2-Dihydroxy-4-methylbenzene; 4-Methyl-1,2-benzenediol	C06730
1,2-Dihydroxy-6-methylcyclohexa-3,5-dienecarboxylate	C06731
Aminoacetaldehyde; 2-Aminoacetaldehyde	C06735
cis-p-Coumarate	C06738
4'-O-beta-D-Glucosyl-cis-p-coumarate	C06739
2'-Hydroxybiphenyl-2-sulfinate; 2-(2-Hydroxyphenyl)benzenesulfinate	C06742
3-Deoxyoctulosonyl-lipopolysaccharide	C06744
N-(2-Phenylethyl)-acetamide; N-Acetylphenylethylamine; N-Acetyl-2-phenylethylamine	C06746
Isopropylamine; 2-Aminopropane; Monoisopropylamine; 2-Propanamine	C06748
6-Hydroxycyclohex-1-ene-1-carbonyl-CoA; 6-Hydroxycyclohex-1-enecarbonyl-CoA; 6-Hydroxycyclohex-1-ene-1-carboxyl-CoA	C06749
1,2-Dichloroethane; Ethylene dichloride; Glycol dichloride; Dutch liquid	C06752
2-Chloroethanol; Ethylene chlorohydrin; Glycol chlorohydrin	C06753
Chloroacetaldehyde; 2-Chloroethanal	C06754
Chloroacetic acid; Chloroethanoic acid	C06755
4-Methylbenzyl alcohol; alpha-Hydroxy-p-xylene; 4-Tolylcarbinol	C06757
p-Tolualdehyde; p-Methylbenzaldehyde; 4-Methylbenzaldehyde; 4-Toluylaldehyde; p-Formyltoluene	C06758
2-Hydroxy-5-methyl-cis,cis-muconic semialdehyde; (2E,4Z)-2-Hydroxy-5-methyl-6-oxohexa-2,4-dienoate	C06760
(4E)-2-Oxohexenoic acid; 2-Oxohex-trans-4-enoate	C06761
4-Hydroxy-2-oxohexanoic acid; 4-Hydroxy-2-oxohexanoate	C06762
Tetrachloroethene; Perchloroethylene; PCE	C06789
Trichloroethene; Trichloroethylene; TCE	C06790
trans-1,2-Dichloroethene; trans-Acetylene dichloride	C06791
cis-1,2-Dichloroethene; cis-Acetylene dichloride	C06792
Acarbose	C06802
Nitrobenzene; Nitrobenzol	C06813
Nitrosobenzene	C06876
2-Deoxy-5-keto-D-gluconic acid; DKH; 5-Dehydro-2-deoxy-D-gluconate; 2-Deoxy-D-threo-hex-5-ulosonic acid	C06892
2-Deoxy-5-keto-D-gluconic acid 6-phosphate; 6-Phospho-5-dehydro-2-deoxy-D-gluconate; DKHP	C06893
Chloral hydrate	C06899
Spirodilactone	C06986
beta-1,2,3,4,5,6-Hexachlorocyclohexane; beta-Hexachlorocyclohexane; beta-BHC; beta-Lindane	C06988
N-Acetyl-O-demethylpuromycin	C07031
N-Acetylpuromycin	C07032
Hydroxyurea; Hydroxycarbamide	C07044
Ifosfamide; Isophosphamide	C07047
Isoniazid	C07054
Lidocaine	C07073
Styrene; Phenylethylene	C07083
Styrene-cis-2,3-dihydrodiol; cis-3-Ethenylcyclohexa-3,5-diene-1,2-diol	C07084
3-Vinylcatechol	C07085
Phenylacetic acid; Benzylformic acid; Phenylacetate; Benzeneacetic acid	C07086
2-Hydroxy-6-oxoocta-2,4,7-trienoate	C07087
Protoanemonin; 4-Methylenebut-2-en-4-olide; cis-4-Methylenebut-2-en-4-olide	C07090
cis-Acetylacrylate	C07091
2,5-Dichloro-cis,cis-muconate	C07095
2,4,6-Trichlorophenol	C07098
2-Hydroxy-1,4-benzoquinone; Hydroxybenzoquinone	C07103
Ethylbenzene; Phenylethane; Ethylbenzol; Ethylenzene	C07111
Acetophenone; 1-Phenylethanone; Phenyl methyl ketone; Acetylbenzene; Methyl phenyl ketone	C07113
3-Oxo-3-phenylpropanoate; Benzoylacetate; 3-Oxo-3-phenylpropionate; 3-Oxo-3-phenylpropionic acid	C07114
Benzoylacetyl-CoA; Benzoylacetyl coenzyme A	C07118
[(1R)-2,2,3-Trimethyl-5-oxocyclopent-3-enyl]acetyl-CoA; 2-Oxo-Delta3-4,5,5-trimethylcyclopentenylacetyl-CoA; 2-Oxo-Delta3-4,5,5-trimethylcyclopentenylacetyl coenzyme A	C07160
3-Methylbenzaldehyde; m-Tolualdehyde	C07209
m-Methylbenzoate; m-Toluic Acid; beta-Bethylbenzoic acid; m-Toluylic acid	C07211
2-Methylbenzyl alcohol	C07213
2-Methylbenzaldehyde; o-Toluic aldehyde; 2-Formyltoluene; o-Tolualdehyde	C07214
o-Toluate; o-Methylbenzoate; o-Toluic Acid; 2-Methylbenzoic acid	C07215
3-Methylbenzyl alcohol	C07216
Limonene-1,2-epoxide; Limonene oxide; (4R)-Limonene-1,2-epoxide	C07271
Maleimide; 2,5-Pyrroledione	C07272
Limonene-1,2-diol; (1S,2S,4R)-Limonene-1,2-diol; (1S,2S,4R)-Menth-8-ene-1,2-diol	C07276
dTDP-D-fucose; dTDP-alpha-D-fucopyranose	C07277
beta-D-Galactosyl-(1->3)-N-acetyl-D-galactosamine; beta-D-Galactopyranosyl-(1->3)-N-acetyl-D-galactosamine	C07278
[eIF5A-precursor]-lysine; [enzyme]-lysine	C07281
[eIF5A-precursor]-deoxyhypusine; Protein N6-(4-Aminobutyl)-L-lysine	C07282
Sulcatone; Methylheptenone; 6-Methylhept-5-en-2-one; 6-Methyl-5-hepten-2-one	C07287
Sulcatol; 6-Methylhept-5-en-2-ol; 6-Methyl-5-hepten-2-ol	C07288
Glutaredoxin	C07292
Glutaredoxin disulfide	C07293
Methylarsonate; Methylarsonic acid; MAA	C07294
Methanearsonous acid; Methylarsonite	C07295
Cutin	C07299
Cutin monomer	C07300
(R)-Mandelamide	C07301
4-Hydroxy-3-methoxyphenyl-beta-hydroxypropanoyl-CoA; 4-Hydroxy-3-methoxyphenyl-beta-hydroxypropionyl-CoA; 3-Hydroxy-3-(4-hydroxy-3-methoxyphenyl)propionyl-CoA	C07303
Deacetylisoipecoside	C07304
Products of ATP breakdown	C07305
Deacetylipecoside	C07307
Cacodylate; Dimethylarsinate	C07308
3-Methylbutanol; Isoamyl alcohol; Isopentyl alcohol	C07328
3-Methylbutanal; Isovaleraldehyde	C07329
3-Methyl-2-butenal; 3-Methylbut-2-enal; 3,3-Dimethyl-acrylaldehyde; Senecialdehyde; Prenal	C07330
Carbonyl sulfide	C07331
2-Amino-3-oxo-4-phosphonooxybutyrate; L-2-Amino-3-oxo-4-phosphonooxybutyrate; (2S)-2-Amino-3-oxo-4-phosphonooxybutanoate	C07335
3'-Demethylstaurosporine; 3'-Demethoxy-3'-hydroxystaurosporine	C07349
Phlorisovalerophenone; 3-Methyl-1-(2,4,6-trihydroxyphenyl)butan-1-one	C07350
Phlorisobutyrophenone; 2-Methyl-1-(2,4,6-trihydroxyphenyl)-1-propanone	C07351
Isonicotinic acid	C07446
Acetylhydrazine	C07447
2-Hydroxy-5-methyl-cis,cis-muconate	C07478
2-Oxo-5-methyl-cis-muconate	C07479
Theobromine; 3,7-Dimethylxanthine	C07480
Caffeine; 1,3,7-Trimethylxanthine	C07481
Trichloroethanol; 2,2,2-Trichloroethanol	C07490
Acetanilide; N-Phenylacetamide; N-Acetylarylamine	C07565
Citalopram	C07572
Psilocybin; Psilocybine	C07576
N-Acetylisoniazid; (N)1-Acetylisoniazid	C07585
Epiandrosterone	C07635
Aldophosphamide	C07645
Carboxyphosphamide; Carboxycyclophosphamide	C07646
Phosphoramide mustard; Phosphamide mustard	C07647
Thioguanine	C07648
5-FU; Fluorouracil; 5-Fluorouracil	C07649
2-Hydroxy-6-oxo-6-(2-hydroxyphenyl)-hexa-2,4-dienoate	C07731
2-Hydroxy-6-oxo-6-(2-hydroxyphenoxy)-hexa-2,4-dienoate	C07734
7-Aminocephalosporanic acid; 7-Aminocephalosporinic acid; 7-ACA; (7R)-7-Aminocephalosporanate	C07756
D-glycero-beta-D-manno-Heptose 7-phosphate	C07836
D-glycero-beta-D-manno-Heptose 1-phosphate	C07838
Cycloserine; D-Cycloserine	C08057
2-Hydroxy-6-oxo-(2'-aminophenyl)-hexa-2,4-dienoate	C08062
1,4-Cyclohexanedione	C08063
Lychnose; 1F-alpha-D-Galactosylraffinose	C08242
Rutinose	C08247
Pyrimidine 5'-deoxynucleotide	C08249
Sophorose; alpha-Sophorose; 2-O-beta-D-Glucopyranosyl-beta-D-glucopyranose	C08250
(-)-Betonicine; Betonicine; trans-4-Hydroxy-L-proline betaine	C08269
3-(Methylthio)propanoate; 3-(Methylthio)propionic acid; 3-Methylthiopropionate; 3-(Methylsulfanyl)propanoate	C08276
Bufotenine; Bufotenin; N,N-Dimethylserotonin	C08299
Gramine; (1H-Indol-3-ylmethyl)dimethylamine; (1H-Indol-3-yl)-N,N-dimethylmethanamine	C08304
Psilocin	C08312
Amygdalin; (R)-Amygdalin; (R)-Amygdaloside; (R)-Laenitrile	C08325
Lotaustralin	C08334
beta-D-Ribopyranose; Ribose	C08353
Estradiol-17beta 3-sulfate	C08357
2-Methoxyestrone 3-sulfate	C08358
2-Methoxyestradiol-17beta 3-sulfate	C08359
Indican; Indican, plant	C08481
3-Hexenol; Leaf alcohol; 3-Hexen-1-ol; (3Z)-3-Hexen-1-ol; cis-3-Hexen-1-ol; (3Z)-Hex-3-en-1-ol	C08492
Tenuazonic acid; (5S,8S)-3-Acetyl-5-sec-butylpyrrolidine-2,4-dione	C08511
Amaranthin	C08537
Betalamic acid	C08538
Betanidin; (2S)-4-[2-[(2S)-2-Carboxy-2,3-dihydro-5,6-dihydroxy-1H-indol-1-yl]ethenyl]-2,3-dihydro-2,6-pyridinedicarboxylic acid	C08539
Betanin	C08540
Dopaxanthin	C08543
Miraxanthin-V	C08557
Portulacaxanthin II	C08565
delta-Carotene	C08586
Chrysanthemin; Cyanidin 3-O-glucoside; Cyanidin 3-O-beta-D-glucoside	C08604
Cyanidin 3-O-(6''-glucosyl-2''-xylosylgalactoside); Cyanidin 3-O-(6-O-beta-D-glucosyl-2-O-beta-D-xylosyl-beta-D-galactoside)	C08612
Torulene	C08613
Cyanidin 3-O-rutinoside; Cyanidin 3-O-rhamnosylglucoside; Keracyanin	C08620
Friedelin	C08626
Taraxerol	C08637
Cyanin; Cyanidin 3,5-di-O-glucoside; Cyanidin 3,5-O-diglucoside; Cyanidin 3,5-di-O-beta-D-glucoside	C08639
Cyanidin 3-O-galactoside; Cyanidin 3-O-beta-D-galactoside	C08647
Isoliquiritigenin	C08650
Polysialic acid acetylated at O-9	C08721
Pelargonin; Pelargonidin 3,5-di-beta-D-glucoside	C08725
Ammeline; 2-Hydroxy-4,6-diamino-1,3,5-triazine	C08733
Ammelide; 2,4-Dihydroxy-6-amino-1,3,5-triazine	C08734
2-Chloro-4-hydroxy-6-amino-1,3,5-triazine	C08735
Melamine; 2,4,6-Triamino-1,3,5-triazine	C08737
Cucurbitacin B	C08794
Isofucosterol; Delta5-Avenasterol	C08821
24-Methylenecycloartanol; 9,19-Cyclolanostan-3-o1, 24-methylene-, (3beta)-	C08830
Asparagoside A; (25S)-5beta-Spirostan-3beta-ol 3-O-beta-D-glucoside	C08886
Dioscin; 3-O-[alpha-L-Rha-(1->4)-[alpha-L-Rha-(1->2)]-beta-D-Glc]diosgenin	C08897
Diosgenin; (3beta,25R)-Spirost-5-en-3-ol	C08898
Soyasapogenol B; 24-Hydroxysophoradiol	C08980
Agroclavine	C09023
Geranylgeraniol; 2,6,10,14-Hexadecatetraen-1-ol, 3,7,11,15-tetramethyl-	C09094
Naringenin 7-O-beta-D-glucoside; Prunin	C09099
Neocembrene; Cembrene A; (R)-Cembrene A; (1E,5E,9E,12R)-1,5,9-Trimethyl-12-(propan-2-en-2-yl)cyclotetradeca-1,5,9-triene	C09140
Sclareol; (13R)-Labd-14-ene-8alpha,13-diol	C09183
Sulfur dioxide	C09306
Umbelliferone; 7-Hydroxycoumarin	C09315
THF-L-glutamate; Tetrahydropteroyldiglutamate; (6S)-H4PteGlu2	C09332
(-)-Laudanidine; (R)-Laudanine; 5-[((1R)-6,7-Dimethoxy-2-methyl-1,2,3,4-tetrahydroisoquinolin-1-yl)methyl]-2-methoxyphenol	C09555
Magnoflorine; (S)-Magnoflorine	C09581
alpha-Eudesmol	C09663
beta-Eudesmol	C09664
beta-Farnesene; (E)-beta-Farnesene	C09666
Germacrene B; (E,E)-Germacrene B; (E,E)-1,5-Dimethyl-8-(1-methylethylidene)-1,5-cyclodecadiene	C09672
Longifolene	C09699
beta-Santalene; (-)-beta-Santalene	C09718
beta-Selinene	C09723
Fisetinidol-4beta-ol; (-)-Mollisacacidin; Fisetinin-3,4-diol; 5-Deoxyleucocyanidin	C09736
Zingiberene; alpha-Zingiberene	C09750
Garbanzol; 3,7,4'-Trihydroxyflavanone	C09751
Hesperidin; Hesperetin 7-O-rutinoside; Ciratin	C09755
Cyclohex-1-ene-1-carboxyl-CoA	C09811
Benzonitrile; Phenyl cyanide; Cyanobenzene	C09814
Benzamide	C09815
Benzylsuccinate; (R)-2-Benzylsuccinate	C09816
Benzylsuccinyl-CoA; (R)-2-Benzylsuccinyl-CoA	C09817
E-Phenylitaconyl-CoA; (E)-2-Benzylidenesuccinyl-CoA	C09818
(Hydroxymethylphenyl)succinyl-CoA	C09819
Benzoylsuccinyl-CoA; 2-Benzoylsuccinyl-CoA	C09820
6-Oxocyclohex-1-ene-1-carbonyl-CoA; 6-Ketoxycyclohex-1-ene-1-carboxyl-CoA	C09821
Cyclohexane-1-carboxyl-CoA	C09823
2-Hydroxy-6-oxocyclohexane-1-carbonyl-CoA; 6-Oxo-2-hydroxycyclohexane-1-carboxyl-CoA	C09825
cis-Citral; Neral	C09847
(R)-(+)-Citronellal	C09848
beta-Citronellol; (R)-(+)-Citronellol	C09849
(-)-Menthyl acetate; l-Menthyl acetate; Menthyl acetate	C09870
Nerol; (Z)-3,7-Dimethylocta-2,6-dien-1-ol	C09871
Pulegone; (+)-Pulegone	C09893
alpha-Terpinene	C09898
Baicalein; 5,6,7-Trihydroxyflavone	C10023
Baicalin; Baicalein 7-O-glucuronide	C10025
Kaempferide; Kempferide; Kaempferol 4'-methyl ether	C10098
(-)-Usnic acid; (S)-Usnic acid; (S)-Usnate	C10101
Picolinic acid; 2-Pyridinecarboxylic acid	C10164
Stachydrine; Proline betaine; L-Proline betaine	C10172
Quercetin 3-(2G-xylosylrutinoside)	C10175
Emodin	C10343
Plastoquinone-9; Plastoquinone A	C10385
Ferreirin; 2,3-Dihydro-5,7-dihydroxy-3-(2-hydroxy-4-methoxyphenyl)-4H-1-benzopyran-4-one	C10419
Anethole; t-Anethole; trans-Anethole	C10428
5-O-Caffeoylshikimic acid	C10434
3,4-Dihydroxyphenylpropanoate; Dihydrocaffeic acid; 3,4-Dihydroxyphenylpropionic acid; 3-(3,4-Dihydroxyphenyl)propanoate	C10447
Estragole; 1-Methoxy-4-(2-propenyl)benzene; Methylchavicol	C10452
Eugenol	C10453
Methyleugenol; O-Methyleugenol; Eugenol methyl ether	C10454
Isoeugenol	C10469
Methylisoeugenol; trans-Methylisoeugenol; Isomethyleugenol	C10478
Medicarpin; (-)-Medicarpin	C10503
Pisatin; (+)-Pisatin	C10516
2-(alpha-D-Glucosyl)-sn-glycerol 3-phosphate	C10517
Dihydroanhydropodorhizol; Yatein; (-)-Yatein; (3R,4R)-4-(1,3-Benzodioxol-5-ylmethyl)-3-(3,4,5-trimethoxybenzyl)dihydrofuran-2(3H)-one	C10557
Lariciresinol; (+)-Lariciresinol	C10646
Matairesinol; (-)-Matairesinol	C10682
Lupanine; (+)-Lupanine	C10772
D-Fructose	C10906
2,6-Dimethylaniline; 2,6-DMA; 2,6-Xylidine	C11004
2'-Deoxy-5-hydroxymethylcytidine-5'-diphosphate	C11038
2'-Deoxy-5-hydroxymethylcytidine-5'-triphosphate	C11039
4-Hydroxybutyryl-CoA; 4-Hydroxybutanoyl-CoA	C11062
1,2-Dibromoethane; Ethylene dibromide	C11088
Isatin; 1H-Indole-2,3-dione	C11129
Dimethyl sulfone; Sulfonylbismethane	C11142
Dimethyl sulfoxide; DMSO	C11143
TCE epoxide; Trichloroethylene epoxide; Trichloroepoxyethane	C11148
Dichloroacetate	C11149
Trichloroacetate; Trichloroacetic acid; TCA	C11150
SN-38	C11173
Arsenate ion; Arsenate	C11215
Bacteriochlorophyll a	C11242
Bacteriochlorophyll b	C11243
Aflatoxin B1exo-8,9-epoxide-GSH; 8,9-Dihydro-8-(S-glutathionyl)-9-hydroxyaflatoxin B1	C11278
Bornyl acetate; (1R,2S,4R)-(+)-Bornyl acetate	C11338
(S)-1-Phenylethanol; (S)-1-Phenethyl alcohol	C11348
2-Hydroxy-cis-hex-2,4-dienoate	C11354
4-Amino-4-deoxychorismate; ADC	C11355
SN38 glucuronide; SN-38G	C11376
alpha-N-Acetylneuraminyl-2,6-beta-D-galactosyl-1,4-N-acetyl-D-glucosaminyl-glycoprotein	C11377
Ubiquinone-10; Ubidecarenone; Coenzyme Q10	C11378
(+)-3-Carene; Isodiprene; (+)-Car-3-ene; (1S,6R)-3,7,7-Trimethylbicyclo[4.1.0]hept-3-ene	C11382
(+)-(S)-Carvone; Carvol; (+)-Carvone; Carvone	C11383
(S)-(-)-Citronellal; (S)-3,7-Dimethyloct-6-enal	C11384
(-)-Citronellol	C11386
(1S,4R)-(+)-Fenchone; (+)-Fenchone	C11387
(-)-Linalool; (R)-(-)-Linalool; (3R)-Linalool	C11388
(+)-Linalool; (S)-(+)-Linalool; (3S)-Linalool	C11389
(1R,2R,4R)-Dihydrocarveol; (-)-Dihydrocarveol	C11396
(1R,2S,4R)-Neo-dihydrocarveol	C11397
(1R,4R)-Dihydrocarvone	C11398
(1S,2S,4R)-Iso-dihydrocarveol	C11399
(1S,2R,4R)-Neoiso-dihydrocarveol	C11400
(1S,4R)-Iso-dihydrocarvone	C11401
(4R,7R)-4-Isopropenyl-7-methyl-2-oxo-oxepanone	C11402
(3S,6R)-6-Isopropenyl-3-methyl-2-oxo-oxepanone	C11403
(3R)-6-Hydroxy-3-isopropenyl-heptanoate	C11404
(3R)-3-Isopropenyl-6-oxoheptanoate; (3R)-3-Isopropenyl-6-oxoheptanoic acid	C11405
(5R)-6-Hydroxy-5-isopropenyl-2-methylhexanoate	C11406
(+)-trans-Carveol; (4S,6R)-trans-Carveol	C11409
(1R,2S,4S)- Neoiso-dihydrocarveol	C11410
(1R,2R,4S)-Iso-dihydrocarveol	C11411
(1R,4S)-Iso-dihydrocarvone	C11412
(1S,2S,4S)-Dihydrocarveol; (+)-Dihydrocarveol	C11413
(4S,7R)-4-Isopropenyl-7-methyl-2-oxo-oxepanone; 4-Isopropenyl-7-methyloxepan-2-one	C11414
(1S,4S)-Dihydrocarvone	C11415
(1S,2R,4S)-Neo-dihydrocarveol	C11416
(3S)-6-Hydroxy-3-isopropenyl-heptanoate; 6-Hydroxy-3-isopropenylheptanoate	C11417
(3S,6S)-6-Isopropenyl-3-methyl-2-oxo-oxepanone	C11418
(3S)-3-Isopropenyl-6-oxoheptanoate; (3S)-3-Isopropenyl-6-oxoheptanoic acid	C11419
(5S)-6-Hydroxy-5-isopropenyl-2-methylhexanoate	C11420
2-C-Methyl-D-erythritol 4-phosphate	C11434
4-(Cytidine 5'-diphospho)-2-C-methyl-D-erythritol	C11435
2-Phospho-4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol	C11436
1-Deoxy-D-xylulose 5-phosphate	C11437
Formyl-L-methionyl peptide	C11439
Methionyl peptide	C11440
2-C-Methyl-D-erythritol 2,4-cyclodiphosphate; 3-Methyl-1,2,3,4-tetrahydroxybutane-1,3-cyclic bisphosphate	C11453
4,4-Dimethyl-5alpha-cholesta-8,14,24-trien-3beta-ol	C11455
D-glycero-beta-D-manno-Heptose 1,7-bisphosphate	C11472
DNA containing guanine	C11475
Sugar	C11477
tRNA containing 5-aminomethyl-2-thiouridine; tRNA containing nm5s2U	C11478
HSO3-; Hydrogen sulfite; Bisulfite	C11481
Holo-Lys2; [Enzyme]-acyl-binding site; [Enzyme]-phosphopantetheine	C11482
(R)-2-Hydroxypropyl-CoM; 2-(R)-Hydroxypropyl-CoM	C11496
2-Oxopropyl-CoM; 2-(2-Oxopropylthio)ethanesulfonate	C11497
(S)-2-Hydroxypropyl-CoM; 2-(S)-Hydroxypropyl-CoM	C11498
(S)-3-Sulfolactate; (2S)-3-Sulfolactate	C11499
Mycothione	C11502
(2R)-1,2-Epoxypropane	C11506
(S)-1,2-Epoxypropane	C11507
4alpha-Methyl-5alpha-ergosta-8,14,24(28)-trien-3beta-ol; Delta8,14-Sterol	C11508
2,4.6-Trichloroanisole	C11510
threo-3-Hydroxy-L-aspartate; L-threo-3-Hydroxyaspartate	C11511
